Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
Grace,25,50000,Male,Hr,Manager,2018-04-05,D,email@example.com,nan
David,nan,65000,Female,Finance,Director,2020-02-20,F,user@domain.com,123-456-7890
Hannah,35,60000,Female,Sales,Director,2020-01-15,C,email@example.com,098-765-4321
Eve,nan,50000,Female,It,Manager,2018-04-05,A,name@company.org,
Grace,nan,NAN,Female,Finance,Manager,2020-01-15,F,name@company.org,098-765-4321
Jack,nan,65000,Other,Marketing,Director,2019-03-25,F,user@domain.com,nan
Charlie,nan,50000,Male,Marketing,Clerk,2019-12-01,B,,123-456-7890
Grace,40,50000,Other,Hr,Director,2019-03-25,C,,
Hannah,40,60000,Female,Marketing,Manager,2020-01-15,C,user@domain.com,123-456-7890
Eve,30,NAN,Other,Finance,Assistant,2020-02-20,A,,
David,25,70000,Male,Marketing,Analyst,2019-12-01,B,nan,123-456-7890
Hannah,nan,70000,Other,Finance,Assistant,2019-03-25,A,,nan
Hannah,30,50000,Male,It,Assistant,2018-04-05,D,,
Charlie,25,55000,Other,Hr,Manager,2020-02-20,F,,555-555-5555
Frank,50,NAN,Male,Marketing,Director,2019-03-25,A,nan,123-456-7890
Eve,35,65000,Male,Finance,Clerk,2018-04-05,F,,123-456-7890
Bob,40,55000,Female,Sales,Assistant,2020-01-15,B,nan,098-765-4321
Hannah,50,55000,Male,Hr,Director,2018-04-05,D,user@domain.com,
Frank,25,NAN,Female,It,Clerk,2019-03-25,B,email@example.com,555-555-5555
Bob,50,50000,Female,Finance,Assistant,2019-03-25,D,user@domain.com,nan
Eve,35,50000,Female,It,Clerk,2020-01-15,D,email@example.com,098-765-4321
Alice,25,50000,Other,It,Director,2018-04-05,F,user@domain.com,555-555-5555
Jack,50,50000,Other,Marketing,Analyst,2018-04-05,B,email@example.com,
Frank,40,70000,Other,Marketing,Director,2020-01-15,B,email@example.com,555-555-5555
Ivy,40,50000,Other,Finance,Manager,2018-04-05,A,name@company.org,123-456-7890
Alice,30,70000,Male,Sales,Clerk,2020-01-15,B,email@example.com,123-456-7890
Jack,50,70000,Male,Finance,Analyst,2020-02-20,A,email@example.com,098-765-4321
Charlie,nan,50000,Other,Sales,Clerk,2019-03-25,C,name@company.org,
